ID,Title,Category,Duration,Rating,Rating Count,Release Date,Popularity,Director,Writer,Description,Story,Details
51,25th Hour ,"Comedy,Drama",45min,9.5,"2,080","Episode aired 2 March 2016
,",,Anton Cropper,"Aaron Korsh,Aaron Korsh",,"Mike takes a deal, but he has big plans for Rachel before he goes to prison. Harvey goes to the jury foreman to find out if Mike made the right choice. Robert Zane uses the deal as leverage to try to blow up Pearson Specter Litt.","USA,English,company contact information,IMDbPro,Color"
52,Atlanta ,"Comedy,Drama",30min,8.7,"4,288",TV Series (2016– ),"103
      (",Donald Glover,"Donald Glover,Brian Tyree Henry,Keith Stanfield","103
      (","Two cousins, with different views on art versus commerce, on their way up through the Atlanta rap scene; ""Earnest 'Earn' Marks,"" an ambitious college drop-out and his estranged cousin, who suddenly becomes a star.","USA,English,company contact information,IMDbPro,Stereo,Color"
53,Morning Star ,"Action,Drama,Fantasy",42min,8.3,528,"Episode aired 5 April 2016
,",,J. Miles Dale,"Cassandra Clare,Ed Decter",,"Jace, who is still reeling from everything that has happened, makes hunting down Valentine his number one priority even though he continues to wrestle with his conflicted feelings. In hopes of finding a way to stop Valentine before it is too late, Clary and Simon must find the key to unlocking Jocelyn's coma. But that key to unlocking Jocelyn's spell may just undo the Downworlder peace treaty, Simon's relationship with Raphael, and the Vampire clan in the process.                ,","USA,English,company contact information,IMDbPro,Color"
54,"To Catch a Killer ,","Biography,Crime,Drama",3h 2min,7.5,"1,628","TV Movie 15 May 1992
,",,Eric Till,Jud Kinberg,,"""To Catch a Killer"" tells the true gruesome story of John Wayne Gacy - a good friend and helpful neighbour, a great child entertainer, a respectful businessman, and a violent serial killer who raped and murdered over 30 young boys.                ,","Canada,USA,English,Toronto, Ontario, Canada,company contact information,IMDbPro,Stereo,Color"
55,"Ki & Ka ,","Comedy,Romance",2h 6min,5.8,"3,110","1 April 2016 (India)
,",,R. Balki,"R. Balki,Rishi Virmani",,"Follows a young, married couple whose relationship challenges the gender roles placed upon women and men in Indian society.","India,Hindi,Tamil,Telugu,Delhi, India,company contact information,IMDbPro,Color"
56,"Don't Call Me Son ,",Drama,1h 22min,7.1,369,"21 July 2016 (Brazil)
,",,Anna Muylaert,Anna Muylaert,,"After discovering the truth about being stolen by the woman he thought was his mother as a child, Pierre (AKA Felipe) must deal with the consequences of his mother's actions and must try to cope with his biological family.","Brazil,Portuguese,company contact information,IMDbPro,Color"
57,"Dark Amazon ,","Adventure,Horror,Thriller",1h 21min,5.0,65,"2014 (USA)
,",,Darcyana Moreno Izel,"Peter Aranda,Darcyana Moreno Izel",,"Dark Amazon is a supernatural thriller shot deep in the Amazon jungle of Brazil. After the discovery of a breakthrough cancer cure, a documentary film crew foll lows a group of researchers into the heart of the rainforest to capture the entire experience. With the cameras rolling at all times, the former Reality TV crew focuses on the researchers' personal drams, leaving some feeling very uncomfortable as well as capturing strange unexplained occurrences. When the research samples are mysteriously destroyed, things take a deadly turn and they're left stranded, scared, and fighting for their lives, facing both physical and potentially supernatural forces. To make it back to civilization, they must traverse the dangerous rainforest and resist the mental and emotional anguish of this deadly journey.                ,","Official Facebook,Official site,USA,Brazil,English,Manaus, Amazonas, Brazil,company contact information,IMDbPro,Color"
58,Matthew Perry & Thomas Lennon/Cecily Strong/Chuck Todd/Brann Dailor ,"Comedy,Talk-Show",41min,,,"Episode aired 5 April 2016
,",,Andrew Law,"Seth Meyers,Matthew Perry,Thomas Lennon",,", and , (, (2015)); , (, (2016), , (1975)); , (, (1947)). Also: , sits in with The 8G Band.","USA,English,company contact information,IMDbPro,Color"
59,"Waterboys ,","Comedy,Sport",1h 31min,7.2,"1,965","15 September 2001 (Japan)
,",,Shinobu Yaguchi,"Yasushi Fukuda,Shinobu Yaguchi",,"In a Japanese high school, a class of adolescent geeks joins the new synchronized swimming teacher and takes up the challenge to take part in the competition, in spite of the mockeries of the ""real sportsmen"".","Official site [Japan],Japan,Japanese,company contact information,IMDbPro,Dolby Digital,Color"
60,"Don Juan DeMarco ,","Comedy,Drama,Romance",1h 37min,6.7,"41,651","7 April 1995 (USA)
,",,Jeremy Leven,"Lord Byron,Jeremy Leven",,"Well-respected psychiatrist Dr. Jack Mickler is only 10 days away from his retirement. A week before he is due to leave, he encounters a young man who attempts suicide--would be a pretty straightforward case except the young man claims to be Don Juan, the fabled Spanish nobleman and world renowned seducer/lover of woman. Despite original hostility from his co-workers, Jack manages to persuade his associates to put the youth in his care for 10 days after which the youth will undergo an evaluation to be either released from psychiatric care or sent to a mental institution. However, as the 10 days progresses, Dr. Mickler and the other staff become gradually drawn into to the young man's exotic world of love, passion and pleasure as he recounts his story to them. Whilst doing so the man's philosophies and zeal for life and love begins to revive Dr. Mickler's somewhat passionless relationship with his wife, Marilyn as well as challenging his own views and ethics to the point where both he ...                ,","USA,English,Spanish,Santa Clarita, California, USA,company contact information,IMDbPro,DTS,Dolby Digital,Color"
61,Young & Pretty Woman ,"Comedy,Drama,Romance",22min,9.0,124,"Episode aired 20 May 2015
,",,Andy Cadiff,"David Holden,Caryn Lucas",,Josh's opportunity to make a confession to Gabi is spoiled when Cooper returns from China.,"company contact information,IMDbPro"
62,Candid Camera ,"Comedy,Family,Reality-TV",30min,7.3,94,TV Series (1948–1950),,"John Garfield,Allen Funt",,,"Unsuspecting people are placed in confusing, impossible, embarrassing, ridiculous, and hilarious positions, while their reactions are recorded on a hidden camera.                ,","USA,English,company contact information,IMDbPro,Mono, Black and White"
63,Requiem for a Dream ,"Drama,Fantasy,Horror",42min,8.4,329,"Episode aired 6 May 2016
,",,Paul Wesley,"Kevin Williamson,Julie Plec",,"When Damon's risky attempt to save Bonnie takes an unexpected turn, the consequences of his actions forces everyone to band together to help her pull through. Meanwhile, when a new threat leaves Caroline's life in jeopardy, Stefan makes a rash decision that ultimately forces them to face the fallout from their relationship. Elsewhere, Enzo tries to hold it together as he painfully watch Bonnie in the fight of her life, while Matt takes matters into his own hands to save one of his closest friends. Alaric also appears.                ,","USA,English,Covington, Georgia, USA,company contact information,IMDbPro,Stereo,Color"
64,"Alice Through the Looking Glass ,","Adventure,Family,Fantasy",1h 53min,6.3,"31,524","27 May 2016 (USA)
,",,James Bobin,"Linda Woolverton,Lewis Carroll",,"Alice returns to the magical world of Underland, only to find the Hatter in a horrible state. With the help of her friends, Alice must travel through time to save the Mad Hatter and Underland's fate from the evil clutches of the Red Queen and a clock like creature, known as Time.                ,","Official Facebook,Official site,USA,UK,English,Shepperton Studios, Shepperton, Surrey, England, UK,company contact information,IMDbPro,Dolby Digital,Datasat,Dolby Atmos,Color"
65,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb ,",Comedy,1h 35min,8.5,"347,205","29 January 1964 (USA)
,",,Stanley Kubrick,"Stanley Kubrick,Terry Southern",,"Paranoid Brigadier General Jack D. Ripper of Burpelson Air Force Base, believing that fluoridation of the American water supply is a Soviet plot to poison the U.S. populace, is able to deploy through a back door mechanism a nuclear attack on the Soviet Union without the knowledge of his superiors, including the Chair of the Joint Chiefs of Staff, General Buck Turgidson, and President Merkin Muffley. Only Ripper knows the code to recall the B-52 bombers and he has shut down communication in and out of Burpelson as a measure to protect this attack. Ripper's executive officer, RAF Group Captain Lionel Mandrake (on exchange from Britain), who is being held at Burpelson by Ripper, believes he knows the recall codes if he can only get a message to the outside world. Meanwhile at the Pentagon War Room, key persons including Muffley, Turgidson and nuclear scientist and adviser, a former Nazi named Dr. Strangelove, are discussing measures to stop the attack or mitigate its blow-up into an all ...                ,","Sony Movie Channel [United States],USA,UK,English,Russian,Okaloosa County, Florida, USA,company contact information,IMDbPro,Mono, Black and White"
66,The 100 ,"Drama,Mystery,Sci-Fi",43min,7.8,"107,456",TV Series (2014– ),"67
      (",Jason Rothenberg,"Eliza Taylor,Eli Goree,Thomas McDonell","67
      (","The series is set 97 years after a devastating nuclear war wiped out almost all life on Earth. The only known survivors are the residents of twelve space stations in Earth's orbit prior to the war. The space stations banded together to form a single massive station named ""The Ark"", where about 2,400 people live. Resources are scarce and all crimes no matter their nature or severity are punishable by death (""floating"") unless the perpetrator is under 18 years of age. After the Ark's life support systems are found to be critically failing, one hundred juvenile prisoners are declared ""expendable"" and sent to the surface in a last ditch attempt to determine if Earth is habitable again. The teens arrive on a beautiful planet they've only seen from space. Confronting the dangers of this rugged new world, they struggle to form a tentative community. However they discover that not all humanity was wiped out. There are people on Earth who survived the war, called ""grounders"" by the 100. The ...                ,","Official site,USA,English,Vancouver, British Columbia, Canada,company contact information,IMDbPro,Dolby Digital,Color"
67,"Overboard ,","Comedy,Romance",1h 46min,6.8,"37,328","16 December 1987 (USA)
,",,Garry Marshall,Leslie Dixon,,"Rich bitch Joanna hires country carpenter Dean to build a closet on her yacht. When the two don't see eye-to-eye, Dean is left unpaid while Joanna sets sail. The following day, Joanna is fished out of the sea, after falling overboard, suffering from amnesia. Dean sees a neat way to regain the money she owes him... he tells her she's his wife; that way Dean gets a free housekeeper and mother for his four kids.                ,","USA,English,French,Portuguese,Newport, Oregon, USA,company contact information,IMDbPro,Dolby,Color"
68,"Deeper: The Retribution of Beth ,","Drama,Thriller",1h 20min,5.1,93,"3 November 2015 (Japan)
,",,Jeffrey Andersen,"Jeffrey Andersen,Matthew Kevin Anderson",,"Mark (a journalist from Xice Magazine) is sent to do a premier article on Steve and John (co-creators of XBus & owners of Bang-on Entertainment). They decide to take Mark on a ride that, unbeknownst to them, turns into a vicious nightmare. Caught in a revenge plot that's been brewing for years, Mark tries to escape with his life as our mysterious Beth reigns down punishment for Steve and John's past dirty deeds. What is a ""just"" consequence for a couple of scum-bag's?... And how far will one go to get even?                ,","Official Facebook Page,Official Website for the Film,Canada,English,North Vancouver, British Columbia, Canada,company contact information,IMDbPro,Dolby Digital,Color"
69,Chaos Theory ,"Action,Drama,Sci-Fi",43min,8.6,"1,294","Episode aired 10 November 2015
,",,David Solomon,"Stan Lee,Jack Kirby",,"As Agent Daisy Johnson and the team fight to protect Inhumans, S.H.I.E.L.D. discovers the shocking truth about one of their biggest foes. Meanwhile, Agent Leo Fitz helps Agent Jemma Simmons recover information that could lead them back through the portal.","English,company contact information,IMDbPro,Stereo,Color"
70,Episode #20.117 ,Talk-Show,1h 55min,,,"Episode aired 16 June 2015
,",,Nick Pinn,"Matthew Wright,Louise Hazel,Donal MacIntyre",,,"Official Site,UK,English,company contact information,IMDbPro,Stereo,Color"
71,Comes Around ,"Action,Crime,Drama",41min,7.6,151,"Episode aired 9 May 2007
,",,Rob Bailey,"Anthony E. Zuiker,Ann Donahue",,"The investigation to Mac's botched bust continues. Meanwhile, a guy who crashed his bride-to-be's bachelor party, is found dead in the restroom, and the eye witness testimonies point to tennis star John McEnroe.","English,CBS Studio Center - 4024 Radford Avenue, Studio City, Los Angeles, California, USA,company contact information,IMDbPro,Stereo,Color"
72,,,,,,,,,,,,
73,"The Kid ,",Drama,1h 51min,6.9,"1,130","17 September 2010 (UK)
,",,Nick Moran,"Kevin Lewis,Nick Moran",,"Kevin Lewis never had a chance. Growing up on a poverty-stricken London council estate, beaten and starved by his parents, bullied at school and abandoned by social services, his life was never his own. Even after he was put into care, he found himself out on the streets caught up in a criminal underworld that knew him as 'The Kid'. Yet Kevin survived to make a better life for himself. This international bestseller published in 2003 is his heartbreaking and inspiring story.                ,","Creative credits,Key creatives,UK,English,Croydon, London, England, UK,company contact information,IMDbPro,Dolby Digital,Color"
74,"The Rum Diary ,","Comedy,Drama",2h,6.2,"87,351","28 October 2011 (USA)
,",,Bruce Robinson,"Bruce Robinson,Hunter S. Thompson",,"Hard-drinking journalist Paul Kemp takes a job at a besieged newspaper in San Juan, Puerto Rico. His volatile editor, Lotterman, assigns him to tourist pieces and horoscopes, but promises more. Paul rooms with Sala, an aging and equally alcoholic reporter, in a rundown flat. Sanderson, a wealthy entrepreneur, hires Paul to flack for a group of investors who plan to buy an island near the capital and build a resort. Sanderson's girl-friend, the beguiling Chenault, bats her eyes at Paul. His loyalties face challenges when he and Sala get in trouble with locals, when a Carnival dance enrages Sanderson, and when the paper hits the skids. Is the solution always alcohol?                ,","Official site,Official site [France],USA,English,Spanish,German,Puerto Rico,company contact information,IMDbPro,Dolby Digital,Color"
75,"Tales from the Script ,",Documentary,1h 45min,7.2,"1,230","10 January 2009 (USA)
,",,Peter Hanson,"Peter Hanson,Paul Robert Herman",,"Shane Black (""Lethal Weapon""), John Carpenter (""Halloween""), Frank Darabont (""The Shawshank Redemption""), William Goldman (""The Princess Bride""), Paul Schrader (""Taxi Driver""), and dozens of other Hollywood screenwriters share hilarious anecdotes and penetrating insights in ""Tales from the Script,"" the most comprehensive documentary ever made about screenwriting. By analyzing their triumphs and recalling their failures, the participants explain how successful writers develop the skills necessary for toughing out careers in one of the world's most competitive industries. They also reveal the untold stories behind some of the greatest screenplays ever written, describing their adventures with luminaries including Harrison Ford, Stanley Kubrick, Joel Silver, Martin Scorsese, and Steven Spielberg. The film was produced in tandem with the upcoming HarperCollins book of the same name.                ,","Official site,USA,English,Los Angeles, California, USA,company contact information,IMDbPro,Color"
76,"Jenny Lewis: Just One of the Guys ,","Short,Music",4min,7.5,169,"Video 15 July 2014
,",,Jenny Lewis,"Jenny Lewis,Tennessee Thomas,Anne Hathaway",,"The official music video page for Jenny Lewis' ""Just One Of The Guys"".","Jenny Lewis - Just One Of The Guys,YouTube,USA,English,company contact information,IMDbPro,Color"
77,"Don't Be Bad ,","Crime,Drama",1h 40min,7.2,"1,594","8 September 2015 (Italy)
,",,Claudio Caligari,"Claudio Caligari,Francesca Serafini",,"A story set in the 90s and in the outskirts of Rome to Ostia, the same places of the films of Pasolini. His characters, in the '90s, seem to belong to a world that revolves around hedonism. A world where money, luxury cars, night clubs, cocaine and synthetic drugs are easy to run. A world in which Vittorio and Cesare, in their early twenty, act in search of their success. Initiation for their existence has a very high cost and Vittorio, to save himself, abandons Cesare, who instead will inexorably sink. The bond that unites them is so strong that Vittorio really never shall abandon his friend, always hoping to be able to look to the future with new eyes. Together.","Italy,Italian,Piazza dei Ravennati, Ostia, Roma, Lazio, Italy,company contact information,IMDbPro,Color"
78,"For a Few Dollars More ,",Western,2h 12min,8.3,"160,138","10 May 1967 (USA)
,",,Sergio Leone,"Sergio Leone,Fulvio Morsella",,"Monco is a bounty killer chasing El Indio and his gang. During his hunting, he meets Col. Douglas Mortimer, another bounty killer, and they decide to make a partnership, chase the bad guys together and split the reward. During their enterprise, there will be lots of bullets and funny situations. In the end, one of the bounty hunters shows the real intention of his hunting.                ,","Italy,Spain,West Germany,Italian,Almería Railway Station, Almería, Andalucía, Spain,company contact information,IMDbPro,Mono,Color"
79,"Butch Cassidy and the Sundance Kid ,","Biography,Crime,Drama",1h 50min,8.1,"154,351","24 October 1969 (USA)
,",,George Roy Hill,William Goldman,,"Butch and Sundance are the two leaders of the Hole-in-the-Wall Gang. Butch is all ideas, Sundance is all action and skill. The west is becoming civilized and when Butch and Sundance rob a train once too often, a special posse begins trailing them no matter where they run. Over rock, through towns, across rivers, the group is always just behind them. When they finally escape through sheer luck, Butch has another idea, ""Let's go to Bolivia"". Based on the exploits of the historical characters.                ,","USA,English,Spanish,Lake Sherwood, California, USA,company contact information,IMDbPro,Mono,Color, Black and White"
80,Lady in the Water ,Comedy,30min,7.7,41,"Episode aired 26 January 2016
,",,Doug Walker,"Doug Walker,Rob Walker",,"Shyamalan Month closes out with a look at M. Night's most notoriously bad film of the new millennium. No, not The Village. It's Lady in the Water. If you thought The Happening was Shyamalan's most hilariously awful movie ever made - it still is, but this one is a runner up. Join the Nostalgia Critic as he dives in to a pool of madness, mayhem and wacky hijinks as only the Master can bring.","company contact information,IMDbPro"
81,"Tout de suite maintenant ,",Comedy,1h 38min,5.8,71,"22 June 2016 (France)
,",,Pascal Bonitzer,"Pascal Bonitzer,Pascal Bonitzer",,,"France,Belgium,Luxembourg,French,company contact information,IMDbPro,Color"
82,"Ghayal ,","Comedy,Action,Crime",2h 43min,7.7,"2,796","8 June 1990 (India)
,",,Rajkumar Santoshi,"Lateef Binny,Vijay Deveshwar",,"Ajay Mehra lives with his elder brother Ashok and sister-in-law Indu. He leaves for Bangalore in order to train to become an international boxer. On his return to New Delhi, he finds that Ashok is missing. He lodges a complaint at the police station but to no avail. He decides to search for his brother himself but still does not find him. Later on, Ashok's body is found and Ajay is accused of killing him as well as having an illicit relationship with his sister-in-law. While in jail, Ajay makes friends with some other hardcore convicts, who are good at heart. Then one day, they escape the jail by overpowering the guards. Ajay only has one thing on his mind: to kill Balwant Rai, a wealthy, powerful and corrupt businessman who had used Ashok's business as a front for his illegal activities. Ajay's new friends and his love interest Varsha, a journalist, help him in his mission.                ,","India,Hindi,Chandivali Studio, Mumbai, Maharashtra, India,company contact information,IMDbPro,Color"
83,"Sherlock Holmes and the Voice of Terror ,","Crime,Thriller,Mystery",1h 5min,6.8,"2,986","18 September 1942 (USA)
,",,John Rawlins,"Lynn Riggs,John Bright",,"When a Nazi saboteur jeeringly predicts to the nation new depredations, via their radio 'Voice of Terror', the Intellegence Inner Council summons Sherlock Holmes (,) to help in the crisis. Holmes and his companion, Dr. Watson (,), are visited the first night of their investigation; a man falls dying from a knife wound on their doorstep. His last word leads Holmes into the slums where he encounters Kitty (,), the sweetheart of the slain man.                ,","USA,English,company contact information,IMDbPro,Mono, Black and White"
84,"The Dead Pool ,","Action,Mystery,Thriller",1h 31min,6.3,"31,311","13 July 1988 (USA)
,",,Buddy Van Horn,"Harry Julian Fink,Rita M. Fink",,"Harry Callahan - or Dirty Harry as he is known from the previous four movies in this series - is investigating a strange betting game. A list of local celebrities has been handed out, and bets are being taken on who will be the first to die. Things start to get interesting when the name 'Harry Callahan' appears on the list.                ,","USA,English,1954 Mason Street, North Beach, San Francisco, California, USA,company contact information,IMDbPro,Dolby Stereo,Color"
85,Thundercats ,"Animation,Action,Adventure",30min,7.9,"12,409",TV Series (1985–1989),"1,851
      (","Bob McFadden,Larry Kenney,Earl Hammond",,"1,851
      (","The inhabitants of the planet Thundera evacuate just before it is destroyed. They were pursued by a band of mutants. All but one of their escape ships was destroyed. Only a small group of Thunderans (Thundercats) remained. With only half engine power, the group, which was led by Jaga, had to set a course for the nearest planet. Jaga commanded their ship while the other 7 were in their stasis tubes. Jaga died on their journey to Third Earth and their ship crashed there. Soon they made friends with various groups in the area and they designed a fortress. Mumm-Ra the centuries-old embodiment of evil, along with the mutants that destroyed the rest of the Thunderans are a constant threat. But Lion-O, the new leader of the Thundercats, with his weapon the ""Sword of Omens"" will help the Thundercats to have a standing chance.                ,","Warner Bros. [United States],USA,English,company contact information,IMDbPro,Mono,Color"
86,"Resurrect Dead: The Mystery of the Toynbee Tiles ,",Documentary,1h 26min,7.4,"1,650","1 August 2011 (USA)
,",,Jon Foy,"Jon Foy,Colin Smith",,"Strangeness is afoot. Most people don't notice the hundreds of cryptic tiled messages about resurrecting the dead that have been appearing in city streets over the past three decades. But Justin Duerr does. For years, finding an answer to this long-standing urban mystery has been his obsession. He has been collecting clues that the tiler has embedded in the streets of major cities across the U.S. and South America. But as Justin starts piecing together key events of the past he finds a story that is more surreal than he imagined, and one that hits disturbingly close to home.                ,","Official site,USA,English,company contact information,IMDbPro,Color"
87,Pay Pal ,"Animation,Comedy",30min,6.7,406,"Episode aired 11 May 2014
,",,Michael Polcino,"Matt Groening,James L. Brooks",,"When Homer ruins his and Marge's chances of making a new couple friend, Marge decides to concentrate on finding a friend for Lisa. However, Lisa suddenly makes a new friend on her own.","USA,English,USA,company contact information,IMDbPro,Dolby,Color"
88,Episode #2.18 ,Talk-Show,30min,,,"Episode aired 18 November 2011
,",,"Ignatiy Vishnevetsky,Christy Lemire,Chaz Ebert",,,"Christy and Ignatiy review ""The Descendants,"" ""The Greening of Whitney Brown,"" ""Immortals,"" ""Happy Feet Two,"" and ""Jack and Jill."" Roger discusses the 30th anniversary restoration of ""Raiders of the Lost Ark."" In the ""Hot & Now"" segment, Ignatiy selects ""Outrage"" and Christy selects ""Rushmore."" Executive producer Chaz Ebert thanks the viewers who have offered support in the show's search for underwriters.                ,","company contact information,IMDbPro"
89,"Audition ,","Drama,Horror,Mystery",1h 55min,7.2,"55,937","3 March 2000 (Japan)
,",,Takashi Miike,"Ryû Murakami,Daisuke Tengan",,"In Tokyo, Shigeharu Aoyama is a widower that grieves the loss of his wife and raises his son Shigehiko Aoyama alone. Seven years later, the teenage Shigehiko asks why his middle-aged father does not remarry and Shigeharu meets his friend Yasuhisa Yoshikawa, who is a film producer, and tells his intention. However, Shigeharu has difficulties to approach to available women to date and Yasuhisa decide to organize a sham audition for casting the lead actress for the fake movie. They receive several portfolios of candidates and Shigeharu becomes obsessed by the gorgeous Asami Yamazaki. Despite the advice of the experienced Yasuhisa, Shigeharu calls Asami to date and he falls for her. But who is the mysterious Asami?                ,","Japan,Japanese,company contact information,IMDbPro,DTS-Stereo,Dolby SR,Color"
90,"All Things Valentine ,","Comedy,Drama,Romance",1h 23min,6.8,593,"TV Movie 31 January 2016
,",,Gary Harvey,J.B. White,,"Avery, a blogger with a string of disappointing Valentine's Days, is ready to give up on love when she meets handsome veterinarian Brendan. When Avery finds out Brendan blames his recent break up on her blog and is the one leaving her angry comments, she begins to question whether the bond they've began to build is a true love story or yesterday's news.                ,","Official site,USA,English,Vancouver, British Columbia, Canada,company contact information,IMDbPro,Stereo,Color"
91,Girlfriends ,Comedy,30min,6.9,"2,453",TV Series (2000–2008),,Mara Brock Akil,"Tracee Ellis Ross,Golden Brooks,Persia White",,"A look at the lives, loves, and losses of four different women, Toni, Maya, Lynn, and Joan.","Official Facebook,Official MySpace,USA,English,Los Angeles, California, USA,company contact information,IMDbPro,Stereo,Color"
92,Sick Day ,"Crime,Drama,Mystery",43min,6.6,213,"Episode aired 5 October 2016
,",,Larry Teng,"Jeff Davis,Virgil Williams",,"Beyond her bandaged burnt hand, Luke can tell that JJ is out of sorts because of the goings-on with their just completed last case. But it isn't until JJ arrives home in the middle of the night to find Will awake with the baby who has the croup that she is forced to talk about what has happened as Will will not let her go to bed before she gets the specifics of what is bothering her out in the open. That case, which took them to the Los Angeles area, began with the discovery of two teenagers, an older girl and younger boy, who were found burnt to death together in an abandoned building. The two, who were not related, were abducted in two separate incidents days apart in different parts of the city, both abducted in broad daylight, both middle class. This case mimics one in San Diego a few years ago, with a few differences, namely that those two victims were at risk runaways, and were discovered away from where they were burned. With this case, another teenaged girl, Francesca Morales,...                ,","USA,English,company contact information,IMDbPro,Stereo,Color"
93,"Sins of the Mother ,",Drama,1h 33min,6.7,189,"TV Movie 19 February 1991
,",,John Patterson,"Jack Olsen,Richard Fielder",,"A charismatic Real Estate agent, Kevin Coe, is publicly proud of his mother, a prominent socialite, but privately he must put up with her constant belittlement's and taunts. And while his latest girlfriend starts discovering the depths of his anguish, no-one connects him with a long series of violent rapes that have been troubling the area.                ,","USA,English,company contact information,IMDbPro,Mono,Color"
94,"The Craft ,","Drama,Fantasy,Horror",1h 41min,6.3,"57,948","3 May 1996 (USA)
,","1,483
      (",Andrew Fleming,"Peter Filardi,Peter Filardi","1,483
      (","A new girl moves to a new city with her family to start a new life. She meets up with the girls who are very interested in the occult and together, the four of them have a seemingly unstopable power. They can do anything, from getting thier dream guys to like them to... the possibilities are limitless.                ,","USA,English,French,Chateau Bradbury Estate - 2232 S. California Avenue, Duarte, California, USA,company contact information,IMDbPro,SDDS,Dolby,Dolby Digital,Color"
95,"Ice Age: Collision Course ,","Animation,Adventure,Comedy",1h 34min,5.7,"17,479","22 July 2016 (USA)
,",,"Mike Thurmeier,Galen T. Chu","Michael J. Wilson,Michael Berg",,"Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and encountering a host of colorful new characters.","Official site,Official site [France],USA,English,company contact information,IMDbPro,Dolby Digital,Datasat,Dolby Atmos,SDDS,Dolby,Color,Color,Color"
96,"Jason Lives: Friday the 13th Part VI ,","Horror,Thriller",1h 26min,5.9,"25,722","1 August 1986 (USA)
,",,Tom McLoughlin,Tom McLoughlin,,"Tommy Jarvis returns to the graveyard to make sure Jason Voorhees is dead and accidentally brings him back to life. Now it's up to Tommy to stop Jason's mindless killing and put him back where he belongs.                ,","USA,English,Georgia, USA,company contact information,IMDbPro,Ultra Stereo,Color"
97,Death and All His Friends ,"Drama,Romance",1h,9.6,"1,689","Episode aired 20 May 2010
,",,Rob Corn,"Shonda Rhimes,Shonda Rhimes",,Cristina and Meredith's surgical skills are put to the ultimate test.,"USA,English,Veterans Hospital - 16111 Plummer Street, North Hills, Los Angeles, California, USA,company contact information,IMDbPro,Dolby Digital,Color"
98,Total Request Live ,Music,30min,3.8,750,TV Series (1999–2008),,"Chris Sabella,Tiffany Ding,Lindsay Lohan",,,,"MTV,USA,English,MTV Studios, Manhattan, New York City, New York, USA,company contact information,IMDbPro,Color"
99,"500 Days of Summer ,","Comedy,Drama,Romance",1h 35min,7.7,"381,311","7 August 2009 (USA)
,",,Marc Webb,"Scott Neustadter,Michael H. Weber",,"After it looks as if she's left his life for good this time, Tom Hansen reflects back on the just over one year that he knew Summer Finn. For Tom, it was love at first sight when she walked into the greeting card company where he worked, she the new administrative assistant. Soon, Tom knew that Summer was the woman with whom he wanted to spend the rest of his life. Although Summer did not believe in relationships or boyfriends - in her assertion, real life will always ultimately get in the way - Tom and Summer became more than just friends. Through the trials and tribulations of Tom and Summer's so-called relationship, Tom could always count on the advice of his two best friends, McKenzie and Paul. However, it is Tom's adolescent sister, Rachel, who is his voice of reason. After all is said and done, Tom is the one who ultimately has to make the choice to listen or not.                ,","Fox Searchlight [United States],Official site [Australia],USA,English,French,Swedish,Bradbury Building - 304 S. Broadway, Downtown, Los Angeles, California, USA,company contact information,IMDbPro,DTS,Dolby Digital,SDDS,Color, Black and White"
100,Flip or Flop ,,,6.4,794,TV Series (2013– ),,"Tarek El Moussa,Christina El Moussa,Taylor El Moussa",,,"Real estate agents Tarek and Christina flip houses in Southern California by purchasing old homes in need of TLC and renovating them to perfection. The couple re-sells the houses for a profit, breaks even, or loses money. Follow the flips from purchase through re-sell, and provides the viewer with all of the information in-between.","USA,English,company contact information,IMDbPro,Color"
101,"What a Wonderful Family! ,",Comedy,1h 48min,7.4,157,"12 March 2016 (Japan)
,",,Yôji Yamada,"Yôji Yamada,Emiko Hiramatsu",,"A husband (Isao Hashizume) and wife (Kazuko Yoshiyuki) have been married for 50 years. For her birthday, the husband asks the wife what she wants for her birthday present. She replies that she wants a divorce. The wife's divorce announcement sends the entire family into chaos. Their children are much thrown into a state of panic to hear this news of separation. Amid the sudden tumult of life, each member of the family begins to publicize respective grievances.                ,","Official site [Japan],Japan,Japanese,company contact information,IMDbPro,Color"
102,CSI: Crime Scene Investigation ,"Crime,Drama,Mystery",1h,7.7,"67,516",TV Series (2000–2015),,Anthony E. Zuiker,"Laurence Fishburne,Marg Helgenberger,George Eads",,"This show follows the nights of the detectives working at the Las Vegas Police Department Crime Scene Investigations bureau. Being the second busiest crime lab in America, CSI officers use the best scientific and technical methods to solve puzzles and catch criminals.                ,","CBS,CBS - Official CSI Wiki,USA,Canada,English,Spanish,American Sign Language,Las Vegas, Nevada, USA,company contact information,IMDbPro,Stereo,Dolby Digital,Color"
